msa_city,msa_state,msa,Personal_Income_2018,Personal_Income_2019
Spokane-Spokane Valley,WA,"Spokane-Spokane Valley, WA",45903,47763
Springfield,IL,"Springfield, IL",48793,50994
Springfield,MA,"Springfield, MA",51953,53622
Springfield,MO,"Springfield, MO",41780,43544
Springfield,OH,"Springfield, OH",40769,42316
State College,PA,"State College, PA",46193,48341
Staunton,VA,"Staunton, VA",44316,45948
Stockton,CA,"Stockton, CA",44995,47087
Sumter,SC,"Sumter, SC",37304,38750
Syracuse,NY,"Syracuse, NY",49736,52064
Tallahassee,FL,"Tallahassee, FL",42601,44289
Tampa-St. Petersburg-Clearwater,FL,"Tampa-St. Petersburg-Clearwater, FL",47240,49081
Terre Haute,IN,"Terre Haute, IN",38299,39822
Texarkana,TX-AR,"Texarkana, TX-AR",37607,38633
The Villages,FL,"The Villages, FL",46100,48225
Toledo,OH,"Toledo, OH",46868,48518
Topeka,KS,"Topeka, KS",46017,47637
Trenton-Princeton,NJ,"Trenton-Princeton, NJ",69344,71906
Tucson,AZ,"Tucson, AZ",44028,46248
Tulsa,OK,"Tulsa, OK",54866,58638
Tuscaloosa,AL,"Tuscaloosa, AL",37983,39334
Twin Falls,ID,"Twin Falls, ID",39309,40521
Tyler,TX,"Tyler, TX",55229,60400
Urban Honolulu,HI,"Urban Honolulu, HI",59608,62134
Utica-Rome,NY,"Utica-Rome, NY",44036,45969
Valdosta,GA,"Valdosta, GA",36217,37567
Vallejo,CA,"Vallejo, CA",51664,54177
Victoria,TX,"Victoria, TX",45968,48376
Vineland-Bridgeton,NJ,"Vineland-Bridgeton, NJ",40289,41753
Virginia Beach-Norfolk-Newport News,VA-NC,"Virginia Beach-Norfolk-Newport News, VA-NC",50619,52537
Visalia,CA,"Visalia, CA",40420,41580
Waco,TX,"Waco, TX",40831,42382
Walla Walla,WA,"Walla Walla, WA",46144,48102
Warner Robins,GA,"Warner Robins, GA",41944,43309
Washington-Arlington-Alexandria,DC-VA-MD-WV,"Washington-Arlington-Alexandria, DC-VA-MD-WV",72483,74952
Waterloo-Cedar Falls,IA,"Waterloo-Cedar Falls, IA",46063,48113
Watertown-Fort Drum,NY,"Watertown-Fort Drum, NY",46924,48639
Wausau-Weston,WI,"Wausau-Weston, WI",49373,51290
Weirton-Steubenville,WV-OH,"Weirton-Steubenville, WV-OH",40472,42571
Wenatchee,WA,"Wenatchee, WA",50021,52254
Wheeling,WV-OH,"Wheeling, WV-OH",48881,53231
Wichita,KS,"Wichita, KS",51854,54666
Wichita Falls,TX,"Wichita Falls, TX",43527,45298
Williamsport,PA,"Williamsport, PA",43823,45876
Wilmington,NC,"Wilmington, NC",43311,44450
Winchester,VA-WV,"Winchester, VA-WV",48174,49924
Winston-Salem,NC,"Winston-Salem, NC",44850,46592
Worcester,MA-CT,"Worcester, MA-CT",55801,57939
Yakima,WA,"Yakima, WA",43379,45014
York-Hanover,PA,"York-Hanover, PA",50113,52322
Youngstown-Warren-Boardman,OH-PA,"Youngstown-Warren-Boardman, OH-PA",42443,44032
Yuba City,CA,"Yuba City, CA",42925,44071
Yuma,AZ,"Yuma, AZ",35682,37031
