Metropolitan area,Unemployment Rate,Rank,Year,Month,City/Area,State
"New York-Newark-Jersey City, NY-NJ-PA Metropolitan Statistical Area",4.0,145,2020,3,New York-Newark-Jersey City,NY-NJ-PA
"St. Louis, MO-IL Metropolitan Statistical Area(1)",4.0,145,2020,3,St. Louis,MO-IL
"Salem, OR Metropolitan Statistical Area",4.0,145,2020,3,Salem,OR
"San Angelo, TX Metropolitan Statistical Area",4.0,145,2020,3,San Angelo,TX
"Wilmington, NC Metropolitan Statistical Area",4.0,145,2020,3,Wilmington,NC
"Winston-Salem, NC Metropolitan Statistical Area",4.0,145,2020,3,Winston-Salem,NC
"Albany-Schenectady-Troy, NY Metropolitan Statistical Area",4.1,162,2020,3,Albany-Schenectady-Troy,NY
"Bremerton-Silverdale, WA Metropolitan Statistical Area",4.1,162,2020,3,Bremerton-Silverdale,WA
"Burlington, NC Metropolitan Statistical Area",4.1,162,2020,3,Burlington,NC
"Dubuque, IA Metropolitan Statistical Area",4.1,162,2020,3,Dubuque,IA
"Johnson City, TN Metropolitan Statistical Area",4.1,162,2020,3,Johnson City,TN
"Joplin, MO Metropolitan Statistical Area",4.1,162,2020,3,Joplin,MO
"Kokomo, IN Metropolitan Statistical Area",4.1,162,2020,3,Kokomo,IN
"Leominster-Gardner, MA Metropolitan NECTA",4.1,162,2020,3,Leominster-Gardner,MA
"Muskegon, MI Metropolitan Statistical Area",4.1,162,2020,3,Muskegon,MI
"Norwich-New London-Westerly, CT-RI Metropolitan NECTA",4.1,162,2020,3,Norwich-New London-Westerly,CT-RI
"St. Joseph, MO-KS Metropolitan Statistical Area",4.1,162,2020,3,St. Joseph,MO-KS
"San Diego-Carlsbad, CA Metropolitan Statistical Area",4.1,162,2020,3,San Diego-Carlsbad,CA
"Athens-Clarke County, GA Metropolitan Statistical Area",4.2,174,2020,3,Athens-Clarke County,GA
"Atlanta-Sandy Springs-Roswell, GA Metropolitan Statistical Area",4.2,174,2020,3,Atlanta-Sandy Springs-Roswell,GA
"Augusta-Richmond County, GA-SC Metropolitan Statistical Area",4.2,174,2020,3,Augusta-Richmond County,GA-SC
"Cedar Rapids, IA Metropolitan Statistical Area",4.2,174,2020,3,Cedar Rapids,IA
"Davenport-Moline-Rock Island, IA-IL Metropolitan Statistical Area",4.2,174,2020,3,Davenport-Moline-Rock Island,IA-IL
"Fort Collins, CO Metropolitan Statistical Area",4.2,174,2020,3,Fort Collins,CO
"Fort Smith, AR-OK Metropolitan Statistical Area",4.2,174,2020,3,Fort Smith,AR-OK
"Gettysburg, PA Metropolitan Statistical Area",4.2,174,2020,3,Gettysburg,PA
"Kankakee, IL Metropolitan Statistical Area",4.2,174,2020,3,Kankakee,IL
"Kingsport-Bristol-Bristol, TN-VA Metropolitan Statistical Area",4.2,174,2020,3,Kingsport-Bristol-Bristol,TN-VA
"Kingston, NY Metropolitan Statistical Area",4.2,174,2020,3,Kingston,NY
"Mobile, AL Metropolitan Statistical Area",4.2,174,2020,3,Mobile,AL
"Morristown, TN Metropolitan Statistical Area",4.2,174,2020,3,Morristown,TN
"North Port-Sarasota-Bradenton, FL Metropolitan Statistical Area",4.2,174,2020,3,North Port-Sarasota-Bradenton,FL
