City/Area,State,Metropolitan area,Unified City,Unified State
Columbia,MO,"Columbia, MO Metropolitan Statistical Area",Columbia,MO
Jefferson City,MO,"Jefferson City, MO Metropolitan Statistical Area",Jefferson City,MO
Springfield,MO,"Springfield, MO Metropolitan Statistical Area",Springfield,MO
Joplin,MO,"Joplin, MO Metropolitan Statistical Area",Joplin,MO
Gulfport-Biloxi-Pascagoula,MS,"Gulfport-Biloxi-Pascagoula, MS Metropolitan Statistical Area",Gulfport,MS
Hattiesburg,MS,"Hattiesburg, MS Metropolitan Statistical Area",Hattiesburg,MS
Jackson,MS,"Jackson, MS Metropolitan Statistical Area",Jackson,MS
Billings,MT,"Billings, MT Metropolitan Statistical Area",Billings,MT
Great Falls,MT,"Great Falls, MT Metropolitan Statistical Area",Great Falls,MT
Missoula,MT,"Missoula, MT Metropolitan Statistical Area",Missoula,MT
Charlotte-Concord-Gastonia,NC-SC,"Charlotte-Concord-Gastonia, NC-SC Metropolitan Statistical Area",Charlotte,NC
Durham-Chapel Hill,NC,"Durham-Chapel Hill, NC Metropolitan Statistical Area",Durham,NC
Greensboro-High Point,NC,"Greensboro-High Point, NC Metropolitan Statistical Area",Greensboro,NC
Hickory-Lenoir-Morganton,NC,"Hickory-Lenoir-Morganton, NC Metropolitan Statistical Area",Hickory,NC
Winston-Salem,NC,"Winston-Salem, NC Metropolitan Statistical Area",Winston,NC
Asheville,NC,"Asheville, NC Metropolitan Statistical Area",Asheville,NC
Raleigh,NC,"Raleigh, NC Metropolitan Statistical Area",Raleigh,NC
Wilmington,NC,"Wilmington, NC Metropolitan Statistical Area",Wilmington,NC
Burlington,NC,"Burlington, NC Metropolitan Statistical Area",Burlington,NC
New Bern,NC,"New Bern, NC Metropolitan Statistical Area",New Bern,NC
Greenville,NC,"Greenville, NC Metropolitan Statistical Area",Greenville,NC
Goldsboro,NC,"Goldsboro, NC Metropolitan Statistical Area",Goldsboro,NC
Jacksonville,NC,"Jacksonville, NC Metropolitan Statistical Area",Jacksonville,NC
Fayetteville,NC,"Fayetteville, NC Metropolitan Statistical Area",Fayetteville,NC
Rocky Mount,NC,"Rocky Mount, NC Metropolitan Statistical Area",Rocky Mount,NC
Fargo,ND-MN,"Fargo, ND-MN Metropolitan Statistical Area",Fargo,ND
Grand Forks,ND-MN,"Grand Forks, ND-MN Metropolitan Statistical Area",Grand Forks,ND
Bismarck,ND,"Bismarck, ND Metropolitan Statistical Area",Bismarck,ND
Omaha-Council Bluffs,NE-IA,"Omaha-Council Bluffs, NE-IA Metropolitan Statistical Area",Omaha,NE
Lincoln,NE,"Lincoln, NE Metropolitan Statistical Area",Lincoln,NE
Grand Island,NE,"Grand Island, NE Metropolitan Statistical Area",Grand Island,NE
Dover-Durham,NH-ME,"Dover-Durham, NH-ME Metropolitan NECTA",Dover,NH
Portsmouth,NH-ME,"Portsmouth, NH-ME Metropolitan NECTA",Portsmouth,NH
Manchester,NH,"Manchester, NH Metropolitan NECTA",Manchester,NH
